datetime,date,lat_gridpoint,lon_gridpoint,PM2_5_surface_ugm3,PM2_5_colmean_ugm3,PBLH_m,O3_ppb,NO2_ppb,CO_ppb,U10_ms,V10_ms,WS10_ms,VC_m2s
2025-01-03 00:00:00,2025-01-03,13.75,100.5,0.0,0.0,0.0,32.1455,0.7872,85.0717,0.9856,-2.0224,2.2498,0.0
2025-01-04 00:00:00,2025-01-04,13.75,100.5,22.7671,3.7498,284.64,17.185,17.507,375.1345,-2.5259,-1.0055,2.7186,773.81
2025-01-05 00:00:00,2025-01-05,13.75,100.5,36.2713,5.8556,142.93,19.9598,25.846,554.5838,-1.6251,-1.8564,2.4672,352.63
2025-01-06 00:00:00,2025-01-06,13.75,100.5,41.3883,6.5156,133.4,20.7986,28.7793,635.3075,-1.7344,-1.0904,2.0487,273.3
2025-01-07 00:00:00,2025-01-07,13.75,100.5,147.846,13.4584,78.27,0.6882,39.3062,1535.8831,-0.2497,-2.0217,2.037,159.44
2025-01-08 00:00:00,2025-01-08,13.75,100.5,241.381,17.7675,69.58,0.2935,43.0786,2460.7358,-0.1901,-1.1233,1.1393,79.27
2025-01-09 00:00:00,2025-01-09,13.75,100.5,26.078,6.5711,145.58,26.2436,20.2222,493.6042,-3.4172,-1.3082,3.659,532.69
2025-01-10 00:00:00,2025-01-10,13.75,100.5,34.678,9.1904,472.14,38.1105,11.6566,490.7663,-3.3735,-2.5966,4.257,2009.93
2025-01-11 00:00:00,2025-01-11,13.75,100.5,35.9285,10.1581,506.18,41.6679,10.9803,478.6027,-2.5891,-4.1704,4.9087,2484.72
2025-01-12 00:00:00,2025-01-12,13.75,100.5,43.0582,10.8667,355.09,41.7269,13.6826,509.0615,-1.8775,-2.8117,3.3809,1200.53
2025-01-13 00:00:00,2025-01-13,13.75,100.5,64.8938,11.5463,132.18,12.3107,32.2584,842.3278,-0.9782,-1.7769,2.0284,268.11
2025-01-14 00:00:00,2025-01-14,13.75,100.5,45.7585,8.5523,143.31,22.8613,20.2564,609.7762,0.0584,-3.1924,3.1929,457.57
2025-01-15 00:00:00,2025-01-15,13.75,100.5,39.0978,7.3412,163.4,23.4674,21.3924,548.2628,-0.27,-2.6676,2.6812,438.11
2025-01-16 00:00:00,2025-01-16,13.75,100.5,31.6162,9.2043,519.14,39.083,10.9616,451.1695,-2.3408,-3.7182,4.3937,2280.93
2025-01-17 00:00:00,2025-01-17,13.75,100.5,48.2864,11.0535,332.67,32.4345,16.6537,551.9419,-1.3994,-2.9184,3.2366,1076.71
2025-01-18 00:00:00,2025-01-18,13.75,100.5,69.107,11.9898,138.16,8.3448,33.5319,863.4177,-0.8762,-1.8259,2.0253,279.81
2025-01-19 00:00:00,2025-01-19,13.75,100.5,63.7452,11.2005,124.57,11.5827,34.4147,809.4503,-0.6214,-1.76,1.8665,232.51
2025-01-20 00:00:00,2025-01-20,13.75,100.5,70.3067,11.3162,140.16,10.8457,41.5887,902.0641,-1.0098,-0.7864,1.2799,179.39
2025-01-21 00:00:00,2025-01-21,13.75,100.5,186.4532,16.2043,40.43,0.4185,42.9048,2164.6645,0.3028,-0.9928,1.0379,41.96
2025-01-22 00:00:00,2025-01-22,13.75,100.5,39.4801,7.3523,145.18,23.9297,26.8253,640.4571,-3.229,-0.5754,3.2798,476.16
2025-01-23 00:00:00,2025-01-23,13.75,100.5,73.61,10.58,80.68,8.4517,43.6559,1044.3455,-1.4444,-1.0381,1.7787,143.5
2025-01-24 00:00:00,2025-01-24,13.75,100.5,196.9961,21.2617,79.13,0.3744,46.6202,2071.975,-0.5181,-0.9421,1.0752,85.08
2025-01-25 00:00:00,2025-01-25,13.75,100.5,92.1251,13.0011,142.42,8.6251,46.4279,1094.2255,-1.863,0.1246,1.8671,265.91
2025-01-26 00:00:00,2025-01-26,13.75,100.5,187.6453,16.1362,79.72,0.6432,48.2653,1951.6343,-0.2099,-1.3587,1.3748,109.59
2025-01-27 00:00:00,2025-01-27,13.75,100.5,173.3047,17.2719,79.25,0.7108,60.1292,1945.2628,-1.3027,-0.0953,1.3062,103.51
2025-01-28 00:00:00,2025-01-28,13.75,100.5,167.4148,19.7949,134.62,0.5079,44.0161,1614.5325,0.7126,-1.8437,1.9766,266.09
